Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000398543.jpg,0.0,0.03395,24.5,0,0
000000398543.jpg,0.0,0.03395,24.5,0,0
000000272714.jpg,0.0,0.03395,21.7,0,0
000000272714.jpg,0.0,0.03395,21.7,0,0
000000272714.jpg,0.0,0.03395,21.7,0,0
000000272714.jpg,0.0,0.03395,21.7,0,0
000000535734.jpg,0.0,0.03395,33.3,0,0
000000535734.jpg,0.0,0.03395,33.3,0,0
000000535734.jpg,0.0,0.03395,33.3,0,0
000000535734.jpg,0.0,0.03395,33.3,0,0
000000106768.jpg,0.0,0.03395,35.6,0,0
000000106768.jpg,0.0,0.03395,35.6,0,0
000000106768.jpg,0.0,0.03395,35.6,0,0
000000106768.jpg,0.0,0.03395,35.6,0,0
000000122068.jpg,0.318195,0.03616,18.4,5,1
000000057900.jpg,0.686271,0.03859,36.1,9,1
000000273644.jpg,0.287658,0.03882,33.8,2,1
000000466120.jpg,0.674923,0.03315,18.2,4,0
000000257573.jpg,0.659427,0.03062,26.7,4,0
000000300539.jpg,0.606741,0.03207,27.1,7,0
000000579285.jpg,0.562927,0.02962,29.8,13,0
000000026417.jpg,0.0,0.03222,27.1,0,0
000000026417.jpg,0.0,0.03222,27.1,0,0
000000026417.jpg,0.0,0.03222,27.1,0,0
000000026417.jpg,0.0,0.03222,27.1,0,0
000000026417.jpg,0.0,0.03222,27.1,0,0
000000328263.jpg,0.0,0.03222,33.3,0,0
000000328263.jpg,0.0,0.03222,33.3,0,0
000000328263.jpg,0.0,0.03222,33.3,0,0
000000328263.jpg,0.0,0.03222,33.3,0,0
000000328263.jpg,0.0,0.03222,33.3,0,0
000000085736.jpg,0.0,0.03222,31.4,0,0
000000085736.jpg,0.0,0.03222,31.4,0,0
000000085736.jpg,0.0,0.03222,31.4,0,0
000000085736.jpg,0.0,0.03222,31.4,0,0
000000085736.jpg,0.0,0.03222,31.4,0,0
000000385200.jpg,0.0,0.03222,31.4,0,0
000000385200.jpg,0.0,0.03222,31.4,0,0
000000385200.jpg,0.0,0.03222,31.4,0,0
000000385200.jpg,0.0,0.03222,31.4,0,0
000000385200.jpg,0.0,0.03222,31.4,0,0
000000148270.jpg,0.0,0.03222,28.6,0,0
000000148270.jpg,0.0,0.03222,28.6,0,0
000000148270.jpg,0.0,0.03222,28.6,0,0
000000148270.jpg,0.0,0.03222,28.6,0,0
000000148270.jpg,0.0,0.03222,28.6,0,0
000000178765.jpg,0.599616,0.02901,42.6,2,0
000000315684.jpg,0.611287,0.03045,25.6,2,0
000000177484.jpg,0.318928,0.0336,41.3,2,0
000000353708.jpg,0.908936,0.03258,36.8,1,0
000000562976.jpg,0.467136,0.02968,39.6,3,0
000000222937.jpg,0.921601,0.03243,34.0,1,0
000000264841.jpg,0.647433,0.03103,25.0,3,0
000000076391.jpg,0.47483,0.0288,26.8,11,0
000000318480.jpg,0.631382,0.0306,30.4,2,0
000000441329.jpg,0.595903,0.0312,15.0,4,0
000000458512.jpg,0.529358,0.03033,42.1,9,0
000000078776.jpg,0.398823,0.03055,41.8,3,0
000000531231.jpg,0.328508,0.03246,26.5,2,0
000000099016.jpg,0.35167,0.03511,22.0,6,1
000000273343.jpg,0.509889,0.03595,27.8,3,1
000000030606.jpg,0.409569,0.02846,24.4,9,0
000000397614.jpg,0.583879,0.03136,26.1,7,0
000000003486.jpg,0.733914,0.02979,23.8,2,0
000000108790.jpg,0.53353,0.03012,33.3,5,0
000000428022.jpg,0.362917,0.03102,30.6,5,0
000000466141.jpg,0.511402,0.031,30.6,37,0
000000227275.jpg,0.440178,0.02913,29.5,5,0
000000098625.jpg,0.813677,0.03203,28.6,3,0
000000499647.jpg,0.451581,0.0332,31.5,6,0
000000073990.jpg,0.527147,0.03354,26.0,8,0
000000343617.jpg,0.801456,0.0307,42.9,2,0
000000153470.jpg,0.686001,0.03565,39.4,3,1
000000380324.jpg,0.810635,0.03093,36.5,2,0
000000163915.jpg,0.541007,0.02968,39.2,2,0
000000162186.jpg,0.463832,0.03529,30.4,2,1
000000501351.jpg,0.477887,0.03149,27.7,1,0
000000382851.jpg,0.429575,0.03074,27.3,6,0
000000335782.jpg,0.422983,0.02969,15.0,2,0
000000074985.jpg,0.444408,0.03096,34.7,7,0
000000417401.jpg,0.641079,0.03104,37.0,2,0
000000350474.jpg,0.841669,0.03161,30.6,3,0
000000550531.jpg,0.491683,0.02932,35.4,2,0
000000086028.jpg,0.468439,0.0323,30.6,5,0
000000128934.jpg,0.811355,0.03615,24.5,3,1
000000460936.jpg,0.566919,0.03075,34.0,4,0
000000234583.jpg,0.395697,0.03175,29.8,7,0
000000375555.jpg,0.588051,0.03081,34.0,3,0
000000252258.jpg,0.888122,0.02967,20.0,2,0
000000221201.jpg,0.60123,0.03242,28.6,10,0
000000526938.jpg,0.432048,0.03315,28.0,22,0
000000080083.jpg,0.299899,0.03248,23.9,6,0
000000305566.jpg,0.0,0.02801,38.0,0,0
000000268186.jpg,0.447169,0.03179,26.1,2,0
000000301354.jpg,0.805102,0.03288,30.0,2,0
000000410026.jpg,0.292192,0.03494,26.9,1,1
000000240886.jpg,0.336039,0.03151,34.6,2,0
